id,business_type,category_name,google_category_id,product_name,price_cents,brand,description,sku_pattern,generation_source,usage_count,quality_score,created_at,last_used_at,image_url,thumbnail_url,image_width,image_height,image_bytes,enhanced_description,features,specifications,has_image,image_quality
i-p3kasi4z,pharmacy,Home & Garden,t-lwx9znk8_home-garden,Automatic Drip Irrigation Kit,4599,AquaFlow,A comprehensive drip irrigation kit for efficient watering of your home garden.,AF-ADI-400,ai,1,0,2025-12-04 20:43:25.838,,,,,,,"Keep your garden lush and thriving with minimal effort using AquaFlow's Automatic Drip Irrigation Kit. Designed for homeowners who cherish their garden but have busy schedules, this kit automates the watering process, ensuring your plants receive the right amount of water without wastage. It's easy to install and customizable, fitting various garden sizes and plant types. The kit includes a timer, tubing, drippers, and all necessary connectors, making it a one-stop solution for your gardening needs.","[""Automates garden watering"", ""Customizable layout"", ""Easy to install and use""]","{""coverage"": ""Up to 400 sq ft"", ""components"": ""Timer, 50ft Tubing, 20 Drippers, Connectors"", ""wateringDuration"": ""Adjustable"", ""wateringFrequency"": ""Adjustable""}",f,
i-5vn0bnmj,pharmacy,Sports & Outdoors,t-lwx9znk8_sports-outdoors,Sports & Outdoors Item 1,999,Generic,,,ai,1,0,2025-12-04 20:45:01.992,,,,,,,,null,null,f,
i-tcxdbf3n,pharmacy,Sports & Outdoors,t-lwx9znk8_sports-outdoors,Sports & Outdoors Item 2,1499,Generic,,,ai,1,0,2025-12-04 20:45:02.166,,,,,,,,null,null,f,
i-t3hq2tnp,pharmacy,Sports & Outdoors,t-lwx9znk8_sports-outdoors,Sports & Outdoors Item 3,1999,Generic,,,ai,1,0,2025-12-04 20:45:02.341,,,,,,,,null,null,f,
i-ul13dr0n,pharmacy,Sports & Outdoors,t-lwx9znk8_sports-outdoors,Sports & Outdoors Item 4,2499,Generic,,,ai,1,0,2025-12-04 20:45:02.52,,,,,,,,null,null,f,
i-yotr3v8p,pharmacy,Toys & Games,t-lwx9znk8_toys-games,Galactic Explorer Space Station Playset,4999,StarBound,A detailed space station playset with figures and accessories for interstellar adventures.,SB-GESS-001,ai,1,0,2025-12-04 20:45:50.266,,,,,,,"Blast off into a universe of imagination with the Galactic Explorer Space Station Playset from StarBound. This comprehensive playset features a detailed space station model, complete with living quarters, a command center, and a docking bay. It comes with multiple astronaut figures and a variety of accessories, including spacecraft, satellites, and alien creatures, to spark hours of creative play. Designed with attention to detail, the set encourages exploration of space concepts, storytelling, and role-playing. It's the perfect gift for young space enthusiasts eager to command their own interstellar adventures.","[""Detailed space station model with multiple play areas."", ""Includes astronaut figures and various space-themed accessories."", ""Encourages imaginative play, storytelling, and interest in space."", ""High-quality construction for durable play.""]","{""material"": ""Plastic"", ""dimensions"": ""24x24x12 inches"", ""accessoriesIncluded"": ""4 astronaut figures, 1 spacecraft, assorted satellites, and alien creatures""}",f,
i-w57cbh90,pharmacy,Toys & Games,t-lwx9znk8_toys-games,Enchanted Fairy Garden Craft Kit,2799,MagicGardens,Create your own fairy garden with this all-in-one craft kit.,MG-EFGK-001,ai,1,0,2025-12-04 20:45:50.446,,,,,,,"Dive into a magical world with the Enchanted Fairy Garden Craft Kit from MagicGardens. This delightful kit includes everything needed to create a whimsical fairy garden: a customizable garden dish, soil, seeds, decorative stones, fairy figures, and miniature furniture. Follow the easy instructions to plant, design, and decorate your fairy garden, then watch as it grows and comes to life. It's not only a fun and creative activity but also an educational experience that teaches about plant growth and care. Perfect for children who love nature, crafts, and fairies.","[""Includes everything needed to create a personalized fairy garden."", ""Promotes creativity, patience, and an understanding of plant growth."", ""Ideal for children interested in gardening, crafts, and fairy tales."", ""Makes a beautiful decoration and a unique gift.""]","{""material"": ""Various (Plastic, Soil, Seeds, Stone)"", ""dimensions"": ""12x12 inches garden dish"", ""kitContents"": ""Garden dish, soil, seeds, decorative stones, 2 fairy figures, miniature furniture""}",f,
i-qgmq9q89,pharmacy,Toys & Games,t-lwx9znk8_toys-games,Dinosaur Discovery Dig Kit,1899,JurassiCraft,Unearth dinosaur fossils with this educational excavation kit.,JC-DDDK-001,ai,1,0,2025-12-04 20:45:50.628,,,,,,,"Embark on a prehistoric adventure with the Dinosaur Discovery Dig Kit from JurassiCraft. This exciting kit allows young paleontologists to experience the thrill of excavation as they uncover dinosaur fossils hidden within a durable dig block. The kit includes a chisel, brush, and magnifying glass to help excavate and examine the fossils like a real scientist. Each kit reveals different dinosaur fossils, making each dig a unique discovery. It's an engaging way to learn about dinosaurs, fossils, and the Earth's history, encouraging curiosity and scientific exploration.","[""Includes tools for a realistic excavation experience."", ""Each kit reveals different dinosaur fossils."", ""Educational and fun, fostering a love for science and history."", ""Perfect for aspiring young paleontologists.""]","{""material"": ""Plaster (dig block), Plastic (tools)"", ""fossilTypes"": ""Varies"", ""kitContents"": ""1 dig block, 1 chisel, 1 brush, 1 magnifying glass""}",f,
i-f3rsy6t7,pharmacy,Books & Media,t-lwx9znk8_books-media,Books & Media Item 1,999,Generic,,,ai,1,0,2025-12-04 20:46:38.19,,,,,,,,null,null,f,
i-zkjb391m,pharmacy,Books & Media,t-lwx9znk8_books-media,Books & Media Item 2,1499,Generic,,,ai,1,0,2025-12-04 20:46:38.371,,,,,,,,null,null,f,
i-tqk11xix,pharmacy,Books & Media,t-lwx9znk8_books-media,Books & Media Item 3,1999,Generic,,,ai,1,0,2025-12-04 20:46:38.549,,,,,,,,null,null,f,
i-za1wot96,pharmacy,Books & Media,t-lwx9znk8_books-media,Books & Media Item 4,2499,Generic,,,ai,1,0,2025-12-04 20:46:38.726,,,,,,,,null,null,f,
i-13lwd53j,pharmacy,Books & Media,t-lwx9znk8_books-media,Books & Media Item 5,2999,Generic,,,ai,1,0,2025-12-04 20:46:38.936,,,,,,,,null,null,f,
i-8tg80my0,pharmacy,Office Supplies,t-lwx9znk8_office-supplies,Office Supplies Item 1,999,Generic,,,ai,1,0,2025-12-04 20:47:39.095,,,,,,,,null,null,f,
i-jni96psp,pharmacy,Office Supplies,t-lwx9znk8_office-supplies,Office Supplies Item 2,1499,Generic,,,ai,1,0,2025-12-04 20:47:39.27,,,,,,,,null,null,f,
i-h1g553fj,pharmacy,Office Supplies,t-lwx9znk8_office-supplies,Office Supplies Item 3,1999,Generic,,,ai,1,0,2025-12-04 20:47:39.447,,,,,,,,null,null,f,
i-8x7j8y51,pharmacy,Office Supplies,t-lwx9znk8_office-supplies,Office Supplies Item 4,2499,Generic,,,ai,1,0,2025-12-04 20:47:39.629,,,,,,,,null,null,f,
i-1stpzan1,pharmacy,Office Supplies,t-lwx9znk8_office-supplies,Office Supplies Item 5,2999,Generic,,,ai,1,0,2025-12-04 20:47:39.805,,,,,,,,null,null,f,
i-chahqosz,grocery,Dairy & Eggs,t-v84j50g0_dairy-eggs,"Organic Large Brown Eggs, 12 count",499,Happy Egg Co.,"A dozen large, organic brown eggs from free-range chickens.",HECO-1224,ai,1,0,2025-12-07 12:17:14.859,,,,,,,"Discover the taste of wellness with Happy Egg Co.'s Organic Large Brown Eggs, a staple in every health-conscious kitchen. Sourced from free-range chickens that roam outdoors, these eggs are not just nutritious but are a testament to ethical farming practices. Each egg is packed with essential nutrients, including high-quality protein, vitamins D, B12, and minerals such as selenium and iodine, making them a versatile ingredient for any meal of the day. Whether you're whipping up a classic breakfast omelette, baking a batch of your favorite cookies, or exploring new culinary creations, these organic large brown eggs are guaranteed to elevate your dishes with their unmatched freshness and flavor.","[""Sourced from free-range chickens"", ""Organic certified"", ""Rich in high-quality protein and essential nutrients"", ""Versatile ingredient for any meal"", ""Pack of 12 large brown eggs""]","{""size"": ""Large"", ""quantity"": 12, ""ingredients"": ""Organic brown eggs"", ""packageDimensions"": ""11.8 x 4.3 x 2.9 inches""}",f,
i-qs95q99e,grocery,Dairy & Eggs,t-v84j50g0_dairy-eggs,"Whole Milk, 1 Gallon",399,Horizon Organic,A gallon of USDA organic whole milk with a rich and creamy taste.,HOMI-1398,ai,1,0,2025-12-07 12:17:15.08,,,,,,,"Introducing Horizon Organic's Whole Milk, the perfect blend of nutrients and flavor for your family. Our milk comes from cows that graze on lush, organic pastures, ensuring the finest quality and taste. It's not just milk; it's a gallon of creamy, delightful goodness that's USDA certified organic. Packed with essential nutrients such as calcium, vitamin D, and protein, it supports bone health and provides energy to power your day. Ideal for pouring over cereal, adding to your favorite recipes, or simply enjoying a cold glass on its own, Horizon Organic Whole Milk is the wholesome choice for you and your family.","[""USDA certified organic"", ""Rich and creamy taste"", ""Packed with calcium, vitamin D, and protein"", ""Sourced from pasture-raised cows"", ""1-gallon size perfect for families""]","{""size"": ""1 Gallon"", ""ingredients"": ""Organic whole milk"", ""nutritionalInfo"": ""150 calories per serving""}",f,
